AT,AS,TT,genotype,BSA,mass,var_name,var_measure,units,day,plate
24,30,16,G1,0.894397814,5.635,CS,16.28599939,umol citrate/mg protein,NA,NA
24,30,16,G2,1.023879237,6.225,CS,13.51702354,umol citrate/mg protein,NA,NA
24,30,16,G3,0.741492615,3.954,CS,22.44322241,umol citrate/mg protein,NA,NA
24,30,16,G4,1.092849242,5.224,CS,13.61346093,umol citrate/mg protein,NA,NA
24,30,16,G5,0.869022057,8.03,CS,18.01531487,umol citrate/mg protein,NA,NA
24,30,16,G6,1.013468671,6.878,CS,17.59777486,umol citrate/mg protein,NA,NA
24,30,16,G7,0.922376212,4.963,CS,18.5482136,umol citrate/mg protein,NA,NA
24,30,16,G8,1.144902076,9.439,CS,12.3600946,umol citrate/mg protein,NA,NA
24,30,16,G1,0.894397814,5.635,CS,17.09190878,umol citrate/mg protein,NA,NA
24,30,16,G2,1.023879237,6.225,CS,17.61791727,umol citrate/mg protein,NA,NA
24,30,16,G3,0.741492615,3.954,CS,23.09045486,umol citrate/mg protein,NA,NA
24,30,16,G4,1.092849242,5.224,CS,15.94651888,umol citrate/mg protein,NA,NA
24,30,16,G5,0.869022057,8.03,CS,14.77643888,umol citrate/mg protein,NA,NA
24,30,16,G6,1.013468671,6.878,CS,11.76536948,umol citrate/mg protein,NA,NA
24,30,16,G7,0.922376212,4.963,CS,19.55668357,umol citrate/mg protein,NA,NA
24,30,16,G8,1.144902076,9.439,CS,12.2840275,umol citrate/mg protein,NA,NA
24,30,16,G1,0.894397814,5.635,CS,15.31435027,umol citrate/mg protein,NA,NA
24,30,16,G2,1.023879237,6.225,CS,13.68171079,umol citrate/mg protein,NA,NA
24,30,16,G3,0.741492615,3.954,CS,21.8309755,umol citrate/mg protein,NA,NA
24,30,16,G4,1.092849242,5.224,CS,12.74704189,umol citrate/mg protein,NA,NA
24,30,16,G5,0.869022057,8.03,CS,13.6122346,umol citrate/mg protein,NA,NA
24,30,16,G6,1.013468671,6.878,CS,14.05262312,umol citrate/mg protein,NA,NA
24,30,16,G7,0.922376212,4.963,CS,18.14040602,umol citrate/mg protein,NA,NA
24,30,16,G8,1.144902076,9.439,CS,9.652429514,umol citrate/mg protein,NA,NA
24,15,16,G1,1.222981326,5.315,CS,12.92853355,umol citrate/mg protein,NA,NA
24,15,16,G2,1.202160193,6.69,CS,15.3103613,umol citrate/mg protein,NA,NA
24,15,16,G3,0.88854187,11.787,CS,12.65629494,umol citrate/mg protein,NA,NA
24,15,16,G4,1.165723209,8.369,CS,15.87793124,umol citrate/mg protein,NA,NA
24,15,16,G5,1.211269438,6.274,CS,12.28253598,umol citrate/mg protein,NA,NA
24,15,16,G6,1.299759256,4.447,CS,11.84549427,umol citrate/mg protein,NA,NA
24,15,16,G7,1.142950094,7.567,CS,15.46799329,umol citrate/mg protein,NA,NA
24,15,16,G8,1.022577917,13.462,CS,11.4539881,umol citrate/mg protein,NA,NA
24,15,16,G1,1.222981326,5.315,CS,13.9997246,umol citrate/mg protein,NA,NA
24,15,16,G2,1.202160193,6.69,CS,14.49652149,umol citrate/mg protein,NA,NA
24,15,16,G3,0.88854187,11.787,CS,11.3550051,umol citrate/mg protein,NA,NA
24,15,16,G4,1.165723209,8.369,CS,15.2119133,umol citrate/mg protein,NA,NA
24,15,16,G5,1.211269438,6.274,CS,12.11579088,umol citrate/mg protein,NA,NA
24,15,16,G6,1.299759256,4.447,CS,12.23183787,umol citrate/mg protein,NA,NA
24,15,16,G7,1.142950094,7.567,CS,12.57250686,umol citrate/mg protein,NA,NA
24,15,16,G8,1.022577917,13.462,CS,13.4544948,umol citrate/mg protein,NA,NA
24,15,16,G1,1.222981326,5.315,CS,12.21794147,umol citrate/mg protein,NA,NA
24,15,16,G2,1.202160193,6.69,CS,12.04112981,umol citrate/mg protein,NA,NA
24,15,16,G3,0.88854187,11.787,CS,11.21111247,umol citrate/mg protein,NA,NA
24,15,16,G4,1.165723209,8.369,CS,11.8166524,umol citrate/mg protein,NA,NA
24,15,16,G5,1.211269438,6.274,CS,9.958812958,umol citrate/mg protein,NA,NA
24,15,16,G6,1.299759256,4.447,CS,11.31658846,umol citrate/mg protein,NA,NA
24,15,16,G7,1.142950094,7.567,CS,11.30309707,umol citrate/mg protein,NA,NA
24,15,16,G8,1.022577917,13.462,CS,9.056641755,umol citrate/mg protein,NA,NA
16,30,16,G1,1.161168586,9.377,CS,11.74012781,umol citrate/mg protein,NA,NA
16,30,16,G2,0.960765177,6.852,CS,13.86495859,umol citrate/mg protein,NA,NA
16,30,16,G3,1.132539528,9.413,CS,13.18218317,umol citrate/mg protein,NA,NA
16,30,16,G4,1.07463075,7.377,CS,17.0790049,umol citrate/mg protein,NA,NA
16,30,16,G5,0.995250179,7.755,CS,14.63567911,umol citrate/mg protein,NA,NA
16,30,16,G6,0.777278938,15.501,CS,13.39997636,umol citrate/mg protein,NA,NA
16,30,16,G7,1.142299434,10.213,CS,9.299708313,umol citrate/mg protein,NA,NA
16,30,16,G8,0.995900839,12.322,CS,11.08354907,umol citrate/mg protein,NA,NA
16,30,16,G1,1.161168586,9.377,CS,10.26882186,umol citrate/mg protein,NA,NA
16,30,16,G2,0.960765177,6.852,CS,13.36544207,umol citrate/mg protein,NA,NA
16,30,16,G3,1.132539528,9.413,CS,12.68807626,umol citrate/mg protein,NA,NA
16,30,16,G4,1.07463075,7.377,CS,15.64785154,umol citrate/mg protein,NA,NA
16,30,16,G5,0.995250179,7.755,CS,14.43832737,umol citrate/mg protein,NA,NA
16,30,16,G6,0.777278938,15.501,CS,16.52051881,umol citrate/mg protein,NA,NA
16,30,16,G7,1.142299434,10.213,CS,9.903143075,umol citrate/mg protein,NA,NA
16,30,16,G8,0.995900839,12.322,CS,12.8939055,umol citrate/mg protein,NA,NA
16,30,16,G1,1.161168586,9.377,CS,11.05873124,umol citrate/mg protein,NA,NA
16,30,16,G2,0.960765177,6.852,CS,11.50238045,umol citrate/mg protein,NA,NA
16,30,16,G3,1.132539528,9.413,CS,9.757793274,umol citrate/mg protein,NA,NA
16,30,16,G4,1.07463075,7.377,CS,13.83218347,umol citrate/mg protein,NA,NA
16,30,16,G5,0.995250179,7.755,CS,11.96398345,umol citrate/mg protein,NA,NA
16,30,16,G6,0.777278938,15.501,CS,13.3165394,umol citrate/mg protein,NA,NA
16,30,16,G7,1.142299434,10.213,CS,8.788735329,umol citrate/mg protein,NA,NA
16,30,16,G8,0.995900839,12.322,CS,10.08068976,umol citrate/mg protein,NA,NA
16,15,16,G1,1.169627172,7.365,CS,14.05058973,umol citrate/mg protein,NA,NA
16,15,16,G2,1.01216735,9.991,CS,11.72557522,umol citrate/mg protein,NA,NA
16,15,16,G3,0.676426573,22.237,CS,12.86670213,umol citrate/mg protein,NA,NA
16,15,16,G4,1.266575574,7.199,CS,11.62331854,umol citrate/mg protein,NA,NA
16,15,16,G5,0.781182901,15.967,CS,10.01221047,umol citrate/mg protein,NA,NA
16,15,16,G6,0.856659509,17.783,CS,15.00482039,umol citrate/mg protein,NA,NA
16,15,16,G7,1.094150563,10.036,CS,11.84278342,umol citrate/mg protein,NA,NA
16,15,16,G8,1.005010085,16.952,CS,9.744104179,umol citrate/mg protein,NA,NA
16,15,16,G1,1.169627172,7.365,CS,13.85414446,umol citrate/mg protein,NA,NA
16,15,16,G2,1.01216735,9.991,CS,13.59287994,umol citrate/mg protein,NA,NA
16,15,16,G3,0.676426573,22.237,CS,10.39581319,umol citrate/mg protein,NA,NA
16,15,16,G4,1.266575574,7.199,CS,14.24203977,umol citrate/mg protein,NA,NA
16,15,16,G5,0.781182901,15.967,CS,10.95863833,umol citrate/mg protein,NA,NA
16,15,16,G6,0.856659509,17.783,CS,15.70347355,umol citrate/mg protein,NA,NA
16,15,16,G7,1.094150563,10.036,CS,11.73609168,umol citrate/mg protein,NA,NA
16,15,16,G8,1.005010085,16.952,CS,10.34331588,umol citrate/mg protein,NA,NA
16,15,16,G1,1.169627172,7.365,CS,12.37605221,umol citrate/mg protein,NA,NA
16,15,16,G2,1.01216735,9.991,CS,11.45646366,umol citrate/mg protein,NA,NA
16,15,16,G3,0.676426573,22.237,CS,8.513883373,umol citrate/mg protein,NA,NA
16,15,16,G4,1.266575574,7.199,CS,11.7974123,umol citrate/mg protein,NA,NA
16,15,16,G5,0.781182901,15.967,CS,9.065782617,umol citrate/mg protein,NA,NA
16,15,16,G6,0.856659509,17.783,CS,9.993119532,umol citrate/mg protein,NA,NA
16,15,16,G7,1.094150563,10.036,CS,10.31353511,umol citrate/mg protein,NA,NA
16,15,16,G8,1.005010085,16.952,CS,8.518024846,umol citrate/mg protein,NA,NA
24,30,24,G1,0.894397814,5.635,CS,23.01710383,umol citrate/mg protein,NA,NA
24,30,24,G2,1.023879237,6.225,CS,19.50910613,umol citrate/mg protein,NA,NA
24,30,24,G3,0.741492615,3.954,CS,23.91511396,umol citrate/mg protein,NA,NA
24,30,24,G4,1.092849242,5.224,CS,17.06557284,umol citrate/mg protein,NA,NA
24,30,24,G5,0.869022057,8.03,CS,18.88100523,umol citrate/mg protein,NA,NA
24,30,24,G6,1.013468671,6.878,CS,18.70392071,umol citrate/mg protein,NA,NA
24,30,24,G7,0.922376212,4.963,CS,24.86019097,umol citrate/mg protein,NA,NA
24,30,24,G8,1.144902076,9.439,CS,16.28968864,umol citrate/mg protein,NA,NA
24,30,24,G1,0.894397814,5.635,CS,21.87764324,umol citrate/mg protein,NA,NA
24,30,24,G2,1.023879237,6.225,CS,20.30539618,umol citrate/mg protein,NA,NA
24,30,24,G3,0.741492615,3.954,CS,28.86306857,umol citrate/mg protein,NA,NA
24,30,24,G4,1.092849242,5.224,CS,19.58344424,umol citrate/mg protein,NA,NA
24,30,24,G5,0.869022057,8.03,CS,18.99827856,umol citrate/mg protein,NA,NA
24,30,24,G6,1.013468671,6.878,CS,18.40224457,umol citrate/mg protein,NA,NA
24,30,24,G7,0.922376212,4.963,CS,26.84900625,umol citrate/mg protein,NA,NA
24,30,24,G8,1.144902076,9.439,CS,14.95446826,umol citrate/mg protein,NA,NA
24,30,24,G1,0.894397814,5.635,CS,21.76369719,umol citrate/mg protein,NA,NA
24,30,24,G2,1.023879237,6.225,CS,19.11096111,umol citrate/mg protein,NA,NA
24,30,24,G3,0.741492615,3.954,CS,29.00051175,umol citrate/mg protein,NA,NA
24,30,24,G4,1.092849242,5.224,CS,17.15882733,umol citrate/mg protein,NA,NA
24,30,24,G5,0.869022057,8.03,CS,21.1091984,umol citrate/mg protein,NA,NA
24,30,24,G6,1.013468671,6.878,CS,18.10056842,umol citrate/mg protein,NA,NA
24,30,24,G7,0.922376212,4.963,CS,25.41263966,umol citrate/mg protein,NA,NA
24,30,24,G8,1.144902076,9.439,CS,14.95446826,umol citrate/mg protein,NA,NA
24,15,24,G1,1.222981326,5.315,CS,14.99970493,umol citrate/mg protein,NA,NA
24,15,24,G2,1.202160193,6.69,CS,14.24219655,umol citrate/mg protein,NA,NA
24,15,24,G3,0.88854187,11.787,CS,15.02530977,umol citrate/mg protein,NA,NA
24,15,24,G4,1.165723209,8.369,CS,13.6382671,umol citrate/mg protein,NA,NA
24,15,24,G5,1.211269438,6.274,CS,13.12544012,umol citrate/mg protein,NA,NA
24,15,24,G6,1.299759256,4.447,CS,15.28979734,umol citrate/mg protein,NA,NA
24,15,24,G7,1.142950094,7.567,CS,14.53417459,umol citrate/mg protein,NA,NA
24,15,24,G8,1.022577917,13.462,CS,13.75348358,umol citrate/mg protein,NA,NA
24,15,24,G1,1.222981326,5.315,CS,17.74965083,umol citrate/mg protein,NA,NA
24,15,24,G2,1.202160193,6.69,CS,15.76814618,umol citrate/mg protein,NA,NA
24,15,24,G3,0.88854187,11.787,CS,14.79591573,umol citrate/mg protein,NA,NA
24,15,24,G4,1.165723209,8.369,CS,14.68736456,umol citrate/mg protein,NA,NA
24,15,24,G5,1.211269438,6.274,CS,14.13508936,umol citrate/mg protein,NA,NA
24,15,24,G6,1.299759256,4.447,CS,16.23070794,umol citrate/mg protein,NA,NA
24,15,24,G7,1.142950094,7.567,CS,16.3175089,umol citrate/mg protein,NA,NA
24,15,24,G8,1.022577917,13.462,CS,14.05247235,umol citrate/mg protein,NA,NA
24,15,24,G1,1.222981326,5.315,CS,17.08299728,umol citrate/mg protein,NA,NA
24,15,24,G2,1.202160193,6.69,CS,14.83562141,umol citrate/mg protein,NA,NA
24,15,24,G3,0.88854187,11.787,CS,12.84606637,umol citrate/mg protein,NA,NA
24,15,24,G4,1.165723209,8.369,CS,13.37599273,umol citrate/mg protein,NA,NA
24,15,24,G5,1.211269438,6.274,CS,15.39715091,umol citrate/mg protein,NA,NA
24,15,24,G6,1.299759256,4.447,CS,14.1920683,umol citrate/mg protein,NA,NA
24,15,24,G7,1.142950094,7.567,CS,16.05000875,umol citrate/mg protein,NA,NA
24,15,24,G8,1.022577917,13.462,CS,13.35483188,umol citrate/mg protein,NA,NA
16,30,24,G1,1.161168586,9.377,CS,12.8140854,umol citrate/mg protein,NA,NA
16,30,24,G2,0.960765177,6.852,CS,14.10796663,umol citrate/mg protein,NA,NA
16,30,24,G3,1.132539528,9.413,CS,13.76791254,umol citrate/mg protein,NA,NA
16,30,24,G4,1.07463075,7.377,CS,16.59620617,umol citrate/mg protein,NA,NA
16,30,24,G5,0.995250179,7.755,CS,15.97431964,umol citrate/mg protein,NA,NA
16,30,24,G6,0.777278938,15.501,CS,17.56944063,umol citrate/mg protein,NA,NA
16,30,24,G7,1.142299434,10.213,CS,11.86592819,umol citrate/mg protein,NA,NA
16,30,24,G8,0.995900839,12.322,CS,14.94055717,umol citrate/mg protein,NA,NA
16,30,24,G1,1.161168586,9.377,CS,13.16515623,umol citrate/mg protein,NA,NA
16,30,24,G2,0.960765177,6.852,CS,16.22946537,umol citrate/mg protein,NA,NA
16,30,24,G3,1.132539528,9.413,CS,14.30783068,umol citrate/mg protein,NA,NA
16,30,24,G4,1.07463075,7.377,CS,18.20840906,umol citrate/mg protein,NA,NA
16,30,24,G5,0.995250179,7.755,CS,17.20311346,umol citrate/mg protein,NA,NA
16,30,24,G6,0.777278938,15.501,CS,17.70055586,umol citrate/mg protein,NA,NA
16,30,24,G7,1.142299434,10.213,CS,12.57966823,umol citrate/mg protein,NA,NA
16,30,24,G8,0.995900839,12.322,CS,15.65688526,umol citrate/mg protein,NA,NA
16,30,24,G1,1.161168586,9.377,CS,14.74497498,umol citrate/mg protein,NA,NA
16,30,24,G2,0.960765177,6.852,CS,15.06264107,umol citrate/mg protein,NA,NA
16,30,24,G3,1.132539528,9.413,CS,13.76791254,umol citrate/mg protein,NA,NA
16,30,24,G4,1.07463075,7.377,CS,17.54456081,umol citrate/mg protein,NA,NA
16,30,24,G5,0.995250179,7.755,CS,17.20311346,umol citrate/mg protein,NA,NA
16,30,24,G6,0.777278938,15.501,CS,13.89821423,umol citrate/mg protein,NA,NA
16,30,24,G7,1.142299434,10.213,CS,12.22279821,umol citrate/mg protein,NA,NA
16,30,24,G8,0.995900839,12.322,CS,17.19187401,umol citrate/mg protein,NA,NA
16,15,24,G1,1.169627172,7.365,CS,15.50967116,umol citrate/mg protein,NA,NA
16,15,24,G2,1.01216735,9.991,CS,14.70044793,umol citrate/mg protein,NA,NA
16,15,24,G3,0.676426573,22.237,CS,9.341165477,umol citrate/mg protein,NA,NA
16,15,24,G4,1.266575574,7.199,CS,13.51786826,umol citrate/mg protein,NA,NA
16,15,24,G5,0.781182901,15.967,CS,10.95863833,umol citrate/mg protein,NA,NA
16,15,24,G6,0.856659509,17.783,CS,10.82587949,umol citrate/mg protein,NA,NA
16,15,24,G7,1.094150563,10.036,CS,13.13324545,umol citrate/mg protein,NA,NA
16,15,24,G8,1.005010085,16.952,CS,12.67563221,umol citrate/mg protein,NA,NA
16,15,24,G1,1.169627172,7.365,CS,16.99093189,umol citrate/mg protein,NA,NA
16,15,24,G2,1.01216735,9.991,CS,16.00939193,umol citrate/mg protein,NA,NA
16,15,24,G3,0.676426573,22.237,CS,9.943821315,umol citrate/mg protein,NA,NA
16,15,24,G4,1.266575574,7.199,CS,14.72482078,umol citrate/mg protein,NA,NA
16,15,24,G5,0.781182901,15.967,CS,12.13277815,umol citrate/mg protein,NA,NA
16,15,24,G6,0.856659509,17.783,CS,11.77760516,umol citrate/mg protein,NA,NA
16,15,24,G7,1.094150563,10.036,CS,13.4126762,umol citrate/mg protein,NA,NA
16,15,24,G8,1.005010085,16.952,CS,13.08125244,umol citrate/mg protein,NA,NA
16,15,24,G1,1.169627172,7.365,CS,18.90785754,umol citrate/mg protein,NA,NA
16,15,24,G2,1.01216735,9.991,CS,15.80801593,umol citrate/mg protein,NA,NA
16,15,24,G3,0.676426573,22.237,CS,7.533197966,umol citrate/mg protein,NA,NA
16,15,24,G4,1.266575574,7.199,CS,15.28806529,umol citrate/mg protein,NA,NA
16,15,24,G5,0.781182901,15.967,CS,11.35001827,umol citrate/mg protein,NA,NA
16,15,24,G6,0.856659509,17.783,CS,15.58450784,umol citrate/mg protein,NA,NA
16,15,24,G7,1.094150563,10.036,CS,13.13324545,umol citrate/mg protein,NA,NA
16,15,24,G8,1.005010085,16.952,CS,13.08125244,umol citrate/mg protein,NA,NA
24,30,24,G1,NA,2.456,RMR,0.011202947,umol/h,8,1
24,30,24,G2,NA,3.992,RMR,0.01176948,umol/h,8,1
24,30,24,G3,NA,1.744,RMR,0.012842122,umol/h,8,1
24,30,24,G4,NA,1.338,RMR,0.003045055,umol/h,8,1
24,30,24,G5,NA,6.248,RMR,0.01295053,umol/h,8,1
24,30,24,G6,NA,3.595,RMR,0.01446189,umol/h,8,1
24,30,24,G7,NA,3.278,RMR,0.01166772,umol/h,8,1
24,30,24,G8,NA,7.643,RMR,0.013437361,umol/h,8,1
24,15,24,G1,NA,2.075,RMR,0.0367508,umol/h,8,2
24,15,24,G2,NA,8.332,RMR,0.01854599,umol/h,8,2
24,15,24,G3,NA,2.024,RMR,0.0181906,umol/h,8,2
24,15,24,G4,NA,2.73,RMR,0.02391637,umol/h,8,2
24,15,24,G5,NA,5.321,RMR,0.01927784,umol/h,8,2
24,15,24,G6,NA,5.745,RMR,0.0175384,umol/h,8,2
24,15,24,G7,NA,1.772,RMR,0.03808764,umol/h,8,2
24,15,24,G8,NA,9.477,RMR,0.02936943,umol/h,8,2
16,30,24,G1,NA,2.521,RMR,0.01199759,umol/h,8,1
16,30,24,G2,NA,8.14,RMR,0.011874289,umol/h,8,1
16,30,24,G3,NA,3.636,RMR,0.012408553,umol/h,8,1
16,30,24,G4,NA,1.952,RMR,0.013874542,umol/h,8,1
16,30,24,G5,NA,4.397,RMR,0.017324551,umol/h,8,1
16,30,24,G6,NA,2.64,RMR,0.016953235,umol/h,8,1
16,30,24,G7,NA,4.05,RMR,0.01688439,umol/h,8,1
16,30,24,G8,NA,11.153,RMR,0.02412691,umol/h,8,1
16,15,24,G1,NA,2.586,RMR,0.012982357,umol/h,8,2
16,15,24,G2,NA,11.994,RMR,0.008403313,umol/h,8,2
16,15,24,G3,NA,5.743,RMR,0.019920809,umol/h,8,2
16,15,24,G4,NA,9.295,RMR,0.01890037,umol/h,8,2
16,15,24,G5,NA,1.696,RMR,0.011114393,umol/h,8,2
16,15,24,G6,NA,4.618,RMR,0.013703516,umol/h,8,2
16,15,24,G7,NA,2.296,RMR,0.01704735,umol/h,8,2
16,15,24,G8,NA,7.063,RMR,0.010295582,umol/h,8,2
24,30,16,G1,NA,2.192,RMR,0.005489718,umol/h,1,2
24,30,16,G2,NA,5.065,RMR,0.006792512,umol/h,36,2
24,30,16,G3,NA,1.332,RMR,0.005411056,umol/h,1,2
24,30,16,G4,NA,2.031,RMR,0.005163139,umol/h,36,2
24,30,16,G5,NA,3.148,RMR,0.004616557,umol/h,36,2
24,30,16,G6,NA,2.344,RMR,0.002888849,umol/h,36,2
24,30,16,G7,NA,1.265,RMR,0.003993759,umol/h,36,2
24,30,16,G8,NA,3.689,RMR,0.009734076,umol/h,1,2
24,15,16,G1,NA,1.434,RMR,0.006767064,umol/h,36,1
24,15,16,G2,NA,4.416,RMR,0.005945403,umol/h,36,1
24,15,16,G3,NA,2.199,RMR,0.01909051,umol/h,36,1
24,15,16,G4,NA,5.687,RMR,0.01197326,umol/h,36,1
24,15,16,G5,NA,2.968,RMR,0.008224968,umol/h,36,1
24,15,16,G6,NA,3.326,RMR,0.008209279,umol/h,36,1
24,15,16,G7,NA,1.485,RMR,0.008219999,umol/h,36,1
24,15,16,G8,NA,3.576,RMR,0.01517213,umol/h,36,1
16,30,16,G1,NA,3.656,RMR,0.006767064,umol/h,36,2
16,30,16,G2,NA,3.817,RMR,0.005945403,umol/h,36,2
16,30,16,G3,NA,2.125,RMR,0.004107599,umol/h,1,2
16,30,16,G4,NA,1.997,RMR,0.00625216,umol/h,36,2
16,30,16,G5,NA,5.31,RMR,0.01051694,umol/h,36,2
16,30,16,G6,NA,3.227,RMR,0.01140269,umol/h,36,2
16,30,16,G7,NA,1.669,RMR,0.0140724,umol/h,36,2
16,30,16,G8,NA,4.932,RMR,0.007767487,umol/h,36,2
16,15,16,G1,NA,2.567,RMR,0.008224968,umol/h,36,1
16,15,16,G2,NA,11.882,RMR,0.03067518,umol/h,36,1
16,15,16,G3,NA,3.7,RMR,0.007711553,umol/h,36,1
16,15,16,G4,NA,6.891,RMR,0.004714851,umol/h,36,1
16,15,16,G5,NA,2.202,RMR,0.02017866,umol/h,36,1
16,15,16,G6,NA,7.653,RMR,0.004990932,umol/h,36,1
